text,label
Близко от метро. Удобное место. Всегда есть свободные места. Хожу с работы на обед иногда. Всегда все вкусное и свежее,positive
"Поменяли колеса, помыли, отполировали, все как надо. Машина как с салона! Ребята молодые, студенты стараются. Владелец очень вежливый, приятный человек. Не первый раз уже обращаюсь туда, лучше пока в районе нет, всем советую",positive
"Приятное место для дружеского ""чирикания"". А если проголодались, то к вашим услугам одна из лучших паст в Питере (имхо). Очень популярен среди детей суп ""Детский"" с куриными фрикадельками (ха, кто бы мог подумать). Моя капризулька с удовольствием посещает заведение. Очень дружелюбный персонал. Спасибо за приют.",positive
"Здравствуйте! Хочу выразить огромную благодарность и сказать большое спасибо работнику отдела мониторинга Михаилу за оперативную и высококвалифицированную работу по предотвращению мошеннических действий в отношении операции, связанной с проведением платежа по дебетовой карте банка ЗЕНИТ. Инцидент произошёл 19.01.2023 когда я пыталась оплатить полис ОСАГО, как оказалось, у мошенников. Михаил буквально в режиме онлайн мне перезвонил, и заблокировал карту, тем самым сохранил денежные средства, чему я была очень рада, и подтвердил мои опасения. Будьте бдительны, а работники банка ЗЕНИТ всегда придут на помощь в случае необходимости и решат возникшие проблемы, я в этом убедилась лично. И да, надеюсь заслуженная награда найдёт своего героя в денежном эквиваленте. Спасибо Михаилу и Банку ЗЕНИТ!",positive
"Спасибо,качество хорошее,красивая!На размер S взяла M и мне маловато, но зависит от объема груди может;буду заказывать еще другого цвета)",positive
"Очень хорошая юбка, плотный материал, тянется, на ОБ 96 и ОТ 70- размер L идеально подошел. Талия завышенная и заужена, поэтому юбка красиво и удобно садилтся. Доставка до СПб 20 дней, трек полностью отслеживался. Рекомендую!",positive
"Заказывали дом ,""Аристарх"" каркас .созвонились ,договорились.Дом оформляли в ипотеку ,Александр был всегда на связи .приехала бригада Павел и Дмитрий ,ребята профессионалы своего дела ,спасибо Вам за Вашу работу .Однозначно буду рекомендовать ""Дома из бруса""своим знакомым и друзьям .Спасибо за дом нашей мечты 👍👌",positive
Там подают невероятно вкусные драники с мраморной говядиной. Ради них стоит посетить Калининград.,positive
"Это просто лучший хлеб на Новой Риге (а, значит, видимо, и в России). Пробовал почти всё, но постоянно беру только #1 (пшеничный тартин). Это просто сказка, могу съесть треть булки просто так, а уж с намазками...",positive
Приятное заведение. Адекватные цены. Вкусная еда.,positive
"Для предновогоднего детского досуга очень хорошо. В билет входит экскурсия и за небольшую доплату мастер-класс по раскрашиванию елочной игрушки. Игрушка - это шар, его предоставляют, и все материалы, клей, кисти, блестки тоже. Всё объясняют, как что делать, как держать, как рисовать. И получается уникальный подарок! Уже за это стоит туда съездить.",positive
"Прекрасное место. Отлично отдохнули и половили рыбку. Персонал внимательный и отзывчивый. Поймали три призовые форели, получили подарки от администрации. Обязательно приедет ещё.",positive
Очень благодарны за оказанную помощь. Отдельное спасибо врачу Юрию Алексеевичу Кузнецову. Очень отзывчивый специалист и профессионал. Также в клинике есть узкие специалисты.,positive
"Очень рада что нашла этих ребят, все быстро сделали! Приехала с трещиной на диске(всё запояли ), и выровняли диски! Цены адекватные! Клиентоориентированность на высоте!",positive
"Доставка в МО ровно 19 дней с момента заказа. Этот фасон мне очень даже подошёл ( хотя, обычно, всё сидит, как на короче седло))). Удобные, комфортные, приятные к телу. Спасибо совету продавца, что заказала 6XL, обычно беру в Али 4XL и то одни велики оказались, 5XL может бы и тоже ничего, но были бы в обтяг. Такая модель должна быть выше щиколоток, но мой рост 155 см и мне обычная длина. Мой размер 54 см, ОБ и ОТ одинаковые - 110 см, обычно всё штаны с живота скатываются, а эти, благодаря широкой резинке держаться.",positive
"Интересное место, хорошая атмосфера\nПриятный персонал\nКефтеме!!!",positive
"Костюм классный пришел быстро, размер подошел. Спасибо продавцу.",positive
"шло долго,но пришёл цвет нужный.",positive
Очень комфортная студия с приятной администрацией и хорошей апаратурой)\n,positive
"Место с приятной дружеской атмосферой и приветливым персоналом, быстрая подача блюд достойного качества. Очень понравился пирог со свекольным листьями, салат Цезарь доброй порции и суп харчо. Отличное соотношение цена/качество.",positive
"Когда в первый раз попадаешь туда, немного теряется убеждение того что помоешься сейчас ты классно (2 бокса маленьких в подземном паркинге жилого дома и один мужик на всю мойку), но я рискнул, оставил ему машину и пошел на работу. Как же я удивился когда ее забирал) мне так тщательно и с душой сто лет уже машину не мыл никто! Чтоб вы понимали, моя ласточка с января месяца не мылась ни разу) и досталась она ему, в состоянии которое «грязным» даже не назовешь)) в итоге: комплекс + воск, дешевле всех «соседей на районе» + качественнее всех соседей в городе Москва и области)",positive
"В приложении Альфа-Банка можно выбирать категории кешбека. А ещё есть категория суперкешбек, который выпадает рандомно. Мне в этом месяце выпали кинотеатры 15 . Кешбек всегда исправно начислялся. И вот я купила билеты в кино на сайте Афиша на целую компанию друзей на приличную сумму, захожу в детали платежа - а МСС-код Афиши не подходит под категорию кинотеатры! Думала, что всё, кешбек не начислят(((( Но представитель банка в соцсетях мне помог!) Обращалась 14.01.23 в 18 17ч, вечером, причём в выходной, а на следующий день, 15 января, уже начислили) Спасибо за понимание и оперативность!)",positive
"Добрый день. Решил поделиться опытом общения с Совкомбанком. Вообще сотрудничать с банком стал давно, там всегда были и есть выгодные проценты на вклад. Потом предложили Халву- оказалась выгодная вещь, бесплатная и можно вернуть неплохой кешбек, да и рассрочка удобная штука, например на ДР банк сделал подарок - рассрочку на 12 мес. на любую покупку. Единственное, чтобы получить максимум нужно следить за предложениями и условиями. Это делаю в мобильном приложении, а что не понятно спрашиваю в чате поддержки. Люди там отвечают быстро, были случаи недопонимания, но всё это оперативно решается. Например, однажды у меня не сохранялся шаблон оплаты, в чате приняли заявку, а мои мучения компенсировали промокодом или когда я не разобрался с условиями онлайн-копилки, тоже компенсация от банка. Совет всем - ставить приложение и тогда никаких проблем не будет, а если и будут, то они решатся банком.",positive
"Хочу выразить благодарность агентству недвижимости Этажи, особенно Андрею Анатольевичу Шибаеву, за проделанную работу по продаже нашей 2-х комнатной квартиры.",positive
"Лучший магазин в районе. Европейские сыры, колбасный рай, сырокопчëнная, горячекопчëнная рыба, криветки, лангусты, икра. \nВот что значит частное предпринимательство!",positive
"Заказал в Chebotarev Studio дизайн частного дома на 328 квадратов. Все сделали отлично. Современный стиль передан в интерьере идеально. Сейчас в процессе ремонта и пока также все нравится, надеемся, что все будет также и впредь.",positive
"После двух стрижек определили со Станиславом концепцию модели стрижки, которая подходит именно мне. 2 месяца я специально отращивал волосы и вот, сегодня мы наконец таки добились результата, который мне был нужен)\n\nСтанислав подходит к делу скрупулезно (чтобы вы понимали - мы работали более 2 х часов). На выходе идеальный результат.\n\nРекомендую, он профи!)",positive
"Турбаза на четверку с большим плюсом.\nРыбалка неплохая. Жаль, что не предупреждают сразу, что осётр не входит в путёвку.\nНа 1 путевку любое количество человек, но всего 3 снасти. \nПроживание возможно в юртах, или в палатке. \nЗабавно и комфортно.\nОтвезти вещи от стоянки возможно на тачках.\nОтзывчевый админ Дима, который пытается везде успеть. Ему явно нужно подкрепление.\nЦены приемлемые.\n\n\nМинусы: \nв юртах наглухо закрыты все продухи, из-за чего, проветривание возможно только через дверь. Началось цаетение тряичного основания построек.\nРучки дверные оторваны, двери перекошаны. В бане тоже наблюдается плесень, значит ее не проветривают. Двери так же не закрываются.\n\nВ общем, мы были на разведке. Понравилось. Приедем еще.\nНадеюсь, руководство прочтёт и примет меры.\nИдея отличная. Над мелочами стоит задуматься.",positive
"Гуляли с подругой и регили зайти. Было вкусно,цены нормальные,в самом посещении тепло и уютно.Люди работающие там вежливые.\nВсем советую",positive
"Отличный отель! Персонал компетентный на все 100 % в отеле чисто, мебель новая, играет приятная музыка. Номера очень уютные! Завтраки разнообразные и очень вкусные. На первом этаже замечательный ресторан. В стоимость проживания включен спа. Бассейн чистый и тёплый. Сауны разных видов, есть фреш бар. Рекомендую 👍",positive
"Небольшой магазинчик, есть всё необходимое для ремонта. Можно позвонить на гор. линию и узнать о наличии товаров.",positive
"Как всегда качество на высоте! Берите, не пожалеяте! Доставка до СПб три недели. Все ровно сшито. Ткань плотная, тёплая, смотрится стильно. Выглядит как дорогой брендовый свитшот. Одевала пару раз и неожиданно получала комплименты и вопрос: ""где купила""? Вроде простенько, но со вкусом. Продавцу спасибо и успехов в бизнесе!!!",positive
"Замечательная гостиница! Хозяева Яков Данилыч и Татьяна Борисовна прекрасные люди, гостеприимные, ко всем гостям с душой, редко такое встретишь! Есть завтраки, море рукой подать, вечером шоу программа с дискотекой!Всем рекомендую, приезжайте, мы приезжаем каждый год! Вы влюбитесь в это место!",positive
"Хороший семейный номер. Высокие потолки, большая ванная комната , можно заказать еду, цены нормальные. Приезжайте в Ростов на Дону и останавливайтесь здесь. Ночью тихо.",positive
"Всем привет! Я пользуюсь услугами Тинькофф банка как юр.лицо уже более двух лет Бухгалтерия, Эквайринг, ВЭД и другое. За это время было конечно много разного, но я бы хотел написать этот отзыв о сотруднике банка, который меня действительно удивил. У меня полгода назад появился такой сервис - личный помощник. Зовут сотрудницу К-ва Татьяна. Вот это дейсвительно очень умный, понимающий, оперативный, последовательный и грамотный сотрудник этого банка. Она решала любые вопросы связанные со всеми сервисами банка - ВЭД, Бугхалтерия, Эквайринг и другое. При чем в любой области проявляла себя даже лучше чем профильные специалисты. Благодаря ней, у меня снова появилась преданность этому банку! Спасибо Вам большое Татьяна! Благодарю всех за внимание!",positive
"Хороший, новый магазин, с кафе и бакалеей. Можно купить продуктов и тут же перекусить и выпить кофе. Показался маловат, много место занимает кафе, островок с колбасами, сыром и выпечкой. Ассортимент из-за этого страдает. Удобно что два входа.",positive
"Хороший мини отельчик. Нам все очень понравилось, особенно милая администратор Мария))) Тепло, уютно, вся посуда имеется. Также есть два пакетика чая, сахар, соль и перец, что очень круто! Очень понравился ремонт, все стильно и современно) Чистенько. Телевизор с интернетом, в душе мыло и одноразовые шампуни. Лифт, как и писали в других отзывах, и правда не работает. Приходиться подниматься до 5 этажа, но спорт это жизнь 😂В общем, всё понравилось. Недостатки конечно есть, но они не критичны.",positive
"Как же здорово мы провели здесь время! Покатались на оленьих упряжках ( это просто настоящий экстрим!), покормили животных - чудесного яка, пушистого ослика, милых кроликов, северных оленей), пообнимались с хаски. Максим очень интересно рассказал об истории и быте саамов, хотелось слушать еще. Была возможность еострелять из лука, потренироваться бросать аркан. После жкскурсии погуляли вдоль озера - там замечательный вид. Приямо по льду озера можно покататься на собачьей упряжке! В это место хочется обязательно вернуться.",positive
"Очень нужный и полезный центр. Дети идут на занятия с большим удовольствием. Преподаватели очень приятные. В самом центре очень чисто и уютно. Но есть большое НО. Дети на занятия идут через сквер или просто ""заросший пустырь"". Днем порой страшно, а в вечернее время и подавно. Очень бы хотелось, чтоб администрация города обратила на него внимание и навела там порядок.\nА так, всем большое спасибо, за реализацию данного проекта, по открытию нужного и полезного центра. Всем больших успехов.",positive
"Брюки супер! Пришли в Москву за 10 дней. Цвет, качество, все на высоте. Мой рос 160 см и по росту брюки сели отлично! На высоких девушек будут короткими. Брюки ношу обычно размер М, М и заказала и все село отлично! Буду еще у этого продавца заказывать.",positive
"Диитренко Ирина Александровна Прекрасный специалист отдела, внимательно относиться к людям,отзывчивая профисионал своей профессии, вот с таких специалистов нужно брать пример. Тронуты вниманием, с вопросами которыми мы обратились остались очень довольны, будем рекомендовать знакомым друзьям и близким. Просим отметить за прекрасную работу. Спасибо огромное!",positive
"Хороший зал, сауна, шкафчики - всё на хорошем уровне. Тренажёры разнообразные. Есть чем себя порадовать.",positive
"Плов и правда очень вкусный ,мяса там много ! Официанты и администратор очень приветливы и доброжелательны,приятно находится в заведении !",positive
"Сарафан отличного качества, подошёл по размеру, продавец отправил не сразу, но главное, что пришло вовремя. Рада своей покупке и спасибо продавцу",positive
До Питера месяц. Немного колючая ткань. После стирки всё ушло. На 42-44 взяла М.,positive
"Спасибо огромное команде банка Тинькоф за помощь в возврате денежных средств из Яндекс маркета, который несправедливо отменил доставку товара оплаченного мною на его сайте в черную пятницу 10.11.2022 года. Команда сработала четко и профессионально. Деньги вернулись через 3 дня после отмены заказа. Всем спасибо!",positive
купила под свадебное платье. и не решалась надеть. посмотрела на него.и решила что своей попой 60 размера я в 3хл не войду. и о чудо. не просто влезла. влетела. надо было на размер меньше брать для пущего эффекта. я не знаю кто тут пишет что это маломерка. у меня рост 182. размер 58-60. и я жалею что 2 хл не взяла. вещь отличная. продавцу спасибо. раз в 10 дешевле чем у нас в городе.,positive
"Была на консультации у детского уролога. Все обьяснила, рассказала.",positive
"Отличный свитерок, на объёмы 90-70 сидит свободно! Доставка быстрая",positive
"Неплохой магазин, удобное расположение (рядом с дачами), цены не низкие, но и не самые высокие. Из минусов - это обилие просрочки, как и во многих других магазинах нашего города. Поэтому будьте внимательны при осуществлении покупок!",positive
"Часто заезжаю по дороге домой и на выходных.\nЦены, примерно как и везде, есть карта лояльности с кешбеком.\nСобственное производство просто огонь! Если лень мариновать мясо, здесь всегда найдете готовое.",positive
"Очень даже не плохой магазин. Там самое лучшее, это вежливый персонал, что для Перми вообще редкость. Радует наличие сопутствующих товаров, а вот продуктовый ряд хотелось бы по лучше. Жаль, что маленькая площадь.",positive
"Сегодня обратилась в банк для оформления вклада, предложили программу страхования с гарантированный выходом очень заинтересовал данный продукт ,все рассказали,объяснили очень все понравилось, хочу выразить огромную благодарность за такой подход к своим клиентам, и за профессионализм , обязательно буду рекомендовать близким и друзьям.",positive
"Очень интересное место, все довольно чисто и современно. Новое здание, очень много свободного пространства, разнообразие различных продуктов со всего мира. Приемлемые цены, а также интересные акции, особенно на яйца за 30 рублей накануне Пасхи. Из минусов тяжело добраться, если вы без машины. Нужно добавить бесплатные маршрутки/автобусы от бульвара Дмитрия Донского",positive
"В любое время дня удовлетворит ваш гастрономический запрос. Любителям японской кухни прям зайдёт. Классный интерьер и сотрудники. Любите поострее? - Берите том ям рамен. Порции большие, даже такого ненасытного проглота, как я, смогли оставить сытым. Цены немножко кусаются, но вы тут платите за объем блюда, которое ещё и прям вкусное. Обязательно вернусь ещё, чтоб все попробовать!",positive
"Отличный свитер, очень мягкий, рукава 3/4 фонариком, приятный к телу, доставка - месяц.",positive
хорошенькая на русский M заказала L. заботливый продавец! спасибо!,positive
"Сын ходит, очень нравится. В отличии от других секций, реально занимаются дети (тренера профессионалы)",positive
"лосины плотные на рост 170 длина само то,цвет яркий после стирки не поменялся, доставка до омска 20 дней",positive
"Очень понравилась данная студия. Эпиляцию делала впервые и очень волновалась, но специалист Людмила все аккуратно сделала. Спасибо!\nДобавляю...Хожу в эту студию 6 раз и каждый раз убеждаюсь, что попала в руки мастера! Индивидуальный подход ко мне, так как я боюсь боли, советы! Спасибо огромное-преогромное за праздник мастеру ЮЛЕ, разговоры ""по душе"", ухожу из студии ВСЕГДА в отличном настроении! Всем девушкам советую!\nДополняю свой отзыв (спустя годы похода в эту студию)). Сегодня мне посчастливилось побывать у мастера Надежды, по мне так, самый чуткий и профессиональный мастер, сделала все аккуратно и качественно, видно, что профессионал своего дела! Всем однозначно советую ходить в эту студию!",positive
"Очень нравится сюда приходить! Очень уютно и вкусно! На Октября есть детский стульчик и детская книга, очень удобно, когда нужно развлечь ребенка, пока ждем заказ. Всем рекомендую!",positive
